permno,start,ending
90601,2008-10-22,2024-12-31
90805,2010-03-01,2022-04-08
90808,2007-10-02,2024-12-31
90829,2008-08-27,2024-12-31
90880,2005-10-03,2024-12-31
90979,2014-05-01,2022-06-17
90993,2007-09-26,2024-12-31
91063,2006-01-03,2019-12-04
91068,2011-04-28,2024-12-31
91103,2015-09-03,2024-12-31
91152,2016-06-03,2024-12-31
91233,2008-07-18,2024-12-31
91392,2006-08-01,2018-05-30
91416,2015-03-23,2021-12-17
91461,2006-10-02,2021-12-17
91556,2009-12-21,2024-12-31
91926,2013-09-11,2024-12-31
92121,2007-07-02,2024-12-31
92157,2011-10-17,2024-12-31
92239,2016-02-22,2021-01-20
92322,2016-04-18,2024-12-31
92602,2008-03-31,2024-12-31
92611,2009-12-21,2024-12-31
92614,2016-03-04,2024-12-31
92618,2008-10-07,2018-06-29
92655,1994-07-01,2024-12-31
92709,2008-07-01,2018-03-06
92778,2014-08-07,2022-04-08
93002,2014-05-08,2024-12-31
93089,2015-10-08,2024-12-31
93096,2012-12-03,2024-12-31
93429,2017-03-01,2024-12-31
