companyid,transcriptid,mostimportantdateutc,headline,transcriptcollectiontypename,transcriptpresentationtypename,transcriptcreationdate_utc,audiolengthsec,priority,call_quarter,call_year,gvkey,companyname,reason,best_speaker,ceo_candidates,rescue_reason
3449701,2494977,2022-02-15,"Wynn Resorts, Limited, Q4 2021 Earnings Call, Feb 15, 2022",Edited Copy,Final,2022-02-15,2557,0,4.0,2021.0,149318,"Wynn Resorts, Limited",low_match_score (26.66666666666667),Brian Gullbrants,Matthew Maddox,still_low (26.7)
6569181,1433442,2018-04-19,"Philip Morris International Inc., Q1 2018 Earnings Call, Apr 19, 2018",Audited Copy,Final,2018-04-21,4690,0,1.0,2018.0,179621,Philip Morris International Inc.,low_match_score (35.294117647058826),Nicholas Rolli,Andre Calantzopoulos,still_low (35.3)
6569181,1503690,2018-07-19,"Philip Morris International Inc., Q2 2018 Earnings Call, Jul 19, 2018",Edited Copy,Final,2018-07-19,4586,0,2.0,2018.0,179621,Philip Morris International Inc.,low_match_score (35.294117647058826),Nicholas Rolli,Andre Calantzopoulos,still_low (35.3)
6569181,1572602,2018-10-18,"Philip Morris International Inc., Q3 2018 Earnings Call, Oct 18, 2018",Audited Copy,Final,2018-10-19,3513,0,3.0,2018.0,179621,Philip Morris International Inc.,low_match_score (35.294117647058826),Nicholas Rolli,Andre Calantzopoulos,still_low (35.3)
6569181,1702250,2019-04-18,"Philip Morris International Inc., Q1 2019 Earnings Call, Apr 18, 2019",Audited Copy,Final,2019-04-23,3158,0,1.0,2019.0,179621,Philip Morris International Inc.,low_match_score (35.294117647058826),Nicholas Rolli,Andre Calantzopoulos,still_low (35.3)
6569181,1773872,2019-07-18,"Philip Morris International Inc., Q2 2019 Earnings Call, Jul 18, 2019",Proofed Copy,Final,2019-07-19,3726,0,2.0,2019.0,179621,Philip Morris International Inc.,low_match_score (35.294117647058826),Nicholas Rolli,Andre Calantzopoulos,still_low (35.3)
6569181,1877076,2019-10-17,"Philip Morris International Inc., Q3 2019 Earnings Call, Oct 17, 2019",Audited Copy,Final,2019-12-03,4447,0,3.0,2019.0,179621,Philip Morris International Inc.,low_match_score (35.294117647058826),Nicholas Rolli,Andre Calantzopoulos,still_low (35.3)
6569181,2083127,2020-07-21,"Philip Morris International Inc., Q2 2020 Earnings Call, Jul 21, 2020",Proofed Copy,Final,2020-08-25,5352,0,2.0,2020.0,179621,Philip Morris International Inc.,low_match_score (40.0),Emmanuel Babeau,Andre Calantzopoulos,still_low (40.0)
6569181,2158240,2020-10-20,"Philip Morris International Inc., Q3 2020 Earnings Call, Oct 20, 2020",Proofed Copy,Final,2020-12-03,3943,0,3.0,2020.0,179621,Philip Morris International Inc.,low_match_score (40.0),Emmanuel Babeau,Andre Calantzopoulos,still_low (40.0)
6569181,2401727,2021-04-20,"Philip Morris International Inc., Q1 2021 Earnings Call, Apr 20, 2021",Proofed Copy,Final,2021-09-27,4325,0,1.0,2021.0,179621,Philip Morris International Inc.,low_match_score (30.769230769230774),Nicholas Rolli,Jacek Olczak,still_low (30.8)
6569181,2382499,2021-07-20,"Philip Morris International Inc., Q2 2021 Earnings Call, Jul 20, 2021",Audited Copy,Final,2021-08-19,4472,0,2.0,2021.0,179621,Philip Morris International Inc.,low_match_score (30.769230769230774),Nicholas Rolli,Jacek Olczak,still_low (30.8)
6569181,2473756,2021-10-19,"Philip Morris International Inc., Q3 2021 Earnings Call, Oct 19, 2021",Edited Copy,Final,2022-01-18,4050,0,3.0,2021.0,179621,Philip Morris International Inc.,low_match_score (30.769230769230774),Nicholas Rolli,Jacek Olczak,still_low (30.8)
6569181,2648801,2022-07-21,"Philip Morris International Inc., Q2 2022 Earnings Call, Jul 21, 2022",Proofed Copy,Final,2022-09-15,3771,0,2.0,2022.0,179621,Philip Morris International Inc.,low_match_score (29.629629629629633),Emmanuel Babeau,Jacek Olczak,still_low (29.6)
215548781,1915110,2020-02-13,"Zoetis Inc., Q4 2019 Earnings Call, Feb 13, 2020",Audited Copy,Final,2020-02-20,3799,0,4.0,2019.0,013721,Zoetis Inc.,low_match_score (38.095238095238095),Glenn David,Juan Alaix,still_low (38.1)
