gvkey,datadate,fyear,at,dltt,dlc,oibdp,ppent,che,prcc_f,csho,dltis,dltr,sstk,prstkc,sich
006008,2023-12-31,2023,191572.0,47267.0,2430.0,9633.0,97152.0,25034.0,50.25,4228.0,11391.0,519.0,1042.0,0.0,3674
006066,2017-12-31,2017,125356.0,39837.0,6987.0,15454.0,11116.0,12580.0,153.42,922.179,9642.0,6816.0,175.0,4533.0,7370
006066,2018-12-31,2018,123382.0,35605.0,10207.0,17441.0,10792.0,12222.0,113.67,892.479,6892.0,8533.0,111.0,4614.0,7370
006066,2019-12-31,2019,152186.0,57981.0,10177.0,16908.0,15006.0,9009.0,134.04,887.11,31825.0,12944.0,0.0,1633.0,7370
006066,2020-12-31,2020,155971.0,57929.0,8540.0,15384.0,14726.0,14275.0,125.88,892.653,10504.0,13365.0,0.0,302.0,7370
006066,2021-12-31,2021,132001.0,47379.0,7760.0,13088.0,8916.0,8364.0,133.66,898.069,522.0,8597.0,0.0,319.0,7370
006066,2022-12-31,2022,127243.0,48379.0,5633.0,12677.0,8212.0,8841.0,140.89,906.092,7804.0,6800.0,0.0,407.0,7370
006066,2023-12-31,2023,135241.0,52689.0,7246.0,12395.0,8721.0,13462.0,163.55,915.014,9586.0,5082.0,0.0,402.0,7370
006078,2017-12-31,2017,4598.926,1632.186,6.966,762.277,880.58,368.046,152.61,78.947,498.25,254.499,0.329,69.837,2860
006078,2018-12-31,2018,12889.395,4504.417,48.642,840.143,1241.152,648.522,134.27,106.619,3256.742,377.552,2268.094,25.2,2860
006078,2019-12-31,2019,13287.411,4253.33,424.633,1105.194,1679.582,623.945,129.02,106.787,0.0,156.282,0.0,10.787,2860
006078,2020-12-31,2020,13555.671,4047.999,677.781,1054.274,1765.224,656.836,108.84,106.938,200.0,347.43,0.0,8.101,2860
006078,2021-12-31,2021,39658.0,11453.0,746.0,2354.0,5156.0,715.0,150.65,254.574,3.0,933.0,9.0,21.0,2860
006078,2022-12-31,2022,35407.0,10950.0,688.0,2326.0,4861.0,493.0,104.84,254.968,225.0,721.0,0.0,21.0,2860
006078,2023-12-31,2023,30978.0,9846.0,977.0,1889.0,4955.0,709.0,80.97,255.289,0.0,655.0,0.0,13.0,2860
006104,2017-12-31,2017,33903.0,17137.0,311.0,3630.0,13713.0,1018.0,57.94,412.941,1907.0,1424.0,0.0,,2631
006104,2018-12-31,2018,33576.0,16313.0,639.0,4347.0,13469.0,589.0,40.36,400.606,490.0,1008.0,0.0,732.0,2631
006104,2019-12-31,2019,33471.0,11986.0,4522.0,3846.0,13829.0,511.0,46.05,392.116,534.0,1507.0,0.0,535.0,2631
006104,2020-12-31,2020,31718.0,10471.0,4397.0,3087.0,12987.0,595.0,49.72,393.116,583.0,2278.0,0.0,42.0,2631
006104,2021-12-31,2021,25243.0,7718.0,328.0,2603.0,10824.0,1540.0,46.98,378.554,1512.0,2509.0,0.0,839.0,2631
006104,2022-12-31,2022,23940.0,7205.0,910.0,2859.0,10855.0,804.0,34.63,350.284,1011.0,1017.0,0.0,1284.0,2631
006104,2023-12-31,2023,23261.0,7880.0,291.0,2234.0,10598.0,1113.0,36.15,346.037,783.0,780.0,0.0,218.0,2631
006136,2017-12-31,2017,12695.2,1285.6,86.9,1130.7,650.4,790.9,20.16,383.2,0.0,324.6,13.1,338.9,7311
006136,2018-12-31,2018,15620.3,3660.2,73.8,1246.7,790.9,673.4,20.63,383.6,2494.2,104.8,15.5,146.3,7311
006136,2019-12-31,2019,17751.9,4201.5,821.6,1398.4,2352.5,1192.2,23.1,387.0,0.0,403.3,4.3,22.4,7311
006136,2020-12-31,2020,18042.7,4356.8,819.0,1292.8,2069.6,2509.0,23.52,390.9,646.2,503.7,6.5,22.3,7311
006136,2021-12-31,2021,19909.2,4484.6,314.0,1730.6,2220.2,3270.0,37.45,394.3,998.1,1570.9,8.0,25.5,7311
006136,2022-12-31,2022,18845.0,4250.8,280.8,1757.6,1914.9,2545.3,33.31,386.5,0.0,29.9,0.0,360.4,7311
006136,2023-12-31,2023,19267.3,4134.3,536.9,1747.0,1799.3,2386.1,32.64,378.7,296.3,0.5,0.0,409.1,7311
006216,2017-09-30,2017,7380.859,235.0,3.071,662.188,349.911,774.151,58.27,120.386,1694.023,1846.797,62.645,97.18,1600
006216,2018-09-30,2018,12645.795,2146.877,4.954,1112.142,457.706,793.358,76.5,142.218,5784.355,4572.182,53.584,34.089,1600
006216,2019-09-30,2019,11462.711,1201.245,199.901,929.355,308.143,631.068,91.5,132.879,2782.193,3996.97,64.958,880.317,1600
006216,2020-09-30,2020,12354.353,2412.143,164.312,1207.257,896.286,1209.934,92.77,129.748,2986.661,2521.467,37.235,365.045,7370
006216,2021-09-30,2021,14632.609,3598.291,225.87,1308.783,1003.214,1026.549,132.53,128.893,4445.08,3216.965,38.077,300.815,7370
006216,2022-09-30,2022,14660.419,3964.703,200.586,1416.79,823.589,1154.179,108.49,127.393,3145.5,2420.166,51.034,310.513,7370
006216,2023-09-30,2023,14617.109,3356.701,213.507,1510.889,771.416,929.382,136.5,125.977,3860.468,4486.679,47.782,289.963,7370
006266,2017-12-31,2017,157303.0,30675.0,3906.0,25489.0,17005.0,18296.0,139.72,2682.525,8992.0,1777.0,1062.0,6358.0,2834
006266,2018-12-31,2018,152954.0,27684.0,2796.0,28318.0,17035.0,19687.0,129.05,2662.324,5.0,1555.0,949.0,5868.0,2834
006266,2019-12-31,2019,157728.0,27210.0,1471.0,28130.0,18615.0,19287.0,145.87,2632.507,3.0,2823.0,954.0,6746.0,2834
006266,2020-12-31,2020,174894.0,32635.0,2631.0,27378.0,19766.0,25185.0,157.38,2632.512,7431.0,1064.0,1114.0,3221.0,2834
006266,2021-12-31,2021,182018.0,29985.0,3766.0,32169.0,19862.0,31608.0,171.07,2628.965,5.0,1802.0,1036.0,3456.0,2834
006266,2022-12-31,2022,187378.0,26888.0,12771.0,32436.0,20903.0,23519.0,176.65,2613.597,2.0,2134.0,1329.0,6035.0,2834
006266,2023-12-31,2023,167558.0,25881.0,3451.0,30414.0,20898.0,22927.0,156.74,2407.078,8047.0,1551.0,5335.0,5054.0,2834
006268,2017-09-30,2017,51884.0,11964.0,1608.0,4419.0,6121.0,343.0,40.29,927.975,1865.0,1297.0,157.0,651.0,3585
006268,2018-09-30,2018,48797.0,9654.0,1341.0,4341.0,6171.0,206.0,35.0,925.007,1136.0,3729.0,66.0,343.0,3585
006268,2019-09-30,2019,42287.0,6708.0,511.0,2048.0,3348.0,2821.0,43.89,777.631,0.0,2333.0,171.0,6014.0,3585
006268,2020-09-30,2020,40815.0,8401.0,625.0,2568.0,4249.0,1960.0,40.85,726.223,1804.0,1386.0,75.0,2238.0,3585
